,predicted_mean
4/30/2021,0.0526
5/1/2021,0.0562
5/2/2021,0.0598
5/3/2021,0.0634
5/4/2021,0.067
5/5/2021,0.0706
5/6/2021,0.0742
5/7/2021,0.0778
5/8/2021,0.0814
5/9/2021,0.085
5/10/2021,0.0886
5/11/2021,0.0922
5/12/2021,0.0958
5/13/2021,0.0994
5/14/2021,0.103
5/15/2021,0.1066
5/16/2021,0.1102
5/17/2021,0.1138
5/18/2021,0.1174
5/19/2021,0.121
5/20/2021,0.1246
5/21/2021,0.1282
5/22/2021,0.1318
5/23/2021,0.1354
5/24/2021,0.139
5/25/2021,0.1426
5/26/2021,0.1462
5/27/2021,0.1498
5/28/2021,0.1534
5/29/2021,0.157
5/30/2021,0.1606
5/31/2021,0.1642
6/1/2021,0.1678
6/2/2021,0.1714
6/3/2021,0.175
6/4/2021,0.1786
6/5/2021,0.1822
6/6/2021,0.1858
6/7/2021,0.1894
6/8/2021,0.193
6/9/2021,0.1966
6/10/2021,0.2002
6/11/2021,0.2038
6/12/2021,0.2074
6/13/2021,0.211
6/14/2021,0.2146
6/15/2021,0.2182
6/16/2021,0.2218
6/17/2021,0.2254
6/18/2021,0.229
6/19/2021,0.2326
6/20/2021,0.2362
6/21/2021,0.2398
6/22/2021,0.2434
6/23/2021,0.247
6/24/2021,0.2506
6/25/2021,0.2542
6/26/2021,0.2578
6/27/2021,0.2614
6/28/2021,0.265
6/29/2021,0.2686
6/30/2021,0.2722
7/1/2021,0.2758
7/2/2021,0.2794
7/3/2021,0.283
7/4/2021,0.2866
7/5/2021,0.2902
7/6/2021,0.2938
7/7/2021,0.2974
7/8/2021,0.301
7/9/2021,0.3046
7/10/2021,0.3082
7/11/2021,0.3118
7/12/2021,0.3154
7/13/2021,0.319
7/14/2021,0.3226
7/15/2021,0.3262
7/16/2021,0.3298
7/17/2021,0.3334
7/18/2021,0.337
7/19/2021,0.3406
