Date,CH
3/26/2021,0
3/27/2021,0.000666667
3/28/2021,0.001333333
3/29/2021,0.002
3/30/2021,0.002666667
3/31/2021,0.003333333
4/1/2021,0.004
4/2/2021,0.004666667
4/3/2021,0.005333333
4/4/2021,0.006
4/5/2021,0.006666667
4/6/2021,0.007333333
4/7/2021,0.008
4/8/2021,0.008833333
4/9/2021,0.009666667
4/10/2021,0.0105
4/11/2021,0.011333333
4/12/2021,0.012166667
4/13/2021,0.013
4/14/2021,0.013833333
4/15/2021,0.014666667
4/16/2021,0.0155
4/17/2021,0.016333333
4/18/2021,0.017166667
4/19/2021,0.018
4/20/2021,0.01806
4/21/2021,0.01812
4/22/2021,0.01818
4/23/2021,0.01824
4/24/2021,0.0183
4/25/2021,0.01836
4/26/2021,0.01842
4/27/2021,0.01848
4/28/2021,0.01854
4/29/2021,0.0186
4/30/2021,0.0235
5/1/2021,0.0284
5/2/2021,0.0333
5/3/2021,0.0382
5/4/2021,0.0431
5/5/2021,0.048
5/6/2021,0.06025
5/7/2021,0.0725
5/8/2021,0.08475
5/9/2021,0.097
5/10/2021,0.10925
5/11/2021,0.1215
5/12/2021,0.13375
5/13/2021,0.146
5/14/2021,0.16
5/15/2021,0.174
5/16/2021,0.188
5/17/2021,0.202
5/18/2021,0.216
5/19/2021,0.23
5/20/2021,0.245714286
5/21/2021,0.261428571
5/22/2021,0.277142857
5/23/2021,0.292857143
5/24/2021,0.308571429
5/25/2021,0.324285714
5/26/2021,0.34
5/27/2021,0.349714286
5/28/2021,0.359428571
5/29/2021,0.369142857
5/30/2021,0.378857143
5/31/2021,0.388571429
6/1/2021,0.398285714
6/2/2021,0.408
6/3/2021,0.42575
6/4/2021,0.4435
6/5/2021,0.46125
6/6/2021,0.479
6/7/2021,0.49675
6/8/2021,0.5145
6/9/2021,0.53225
6/10/2021,0.55
6/11/2021,0.554285714
6/12/2021,0.558571429
6/13/2021,0.562857143
6/14/2021,0.567142857
6/15/2021,0.571428571
6/16/2021,0.575714286
6/17/2021,0.58
6/18/2021,0.584285714
6/19/2021,0.588571429
6/20/2021,0.592857143
6/21/2021,0.597142857
6/22/2021,0.601428571
6/23/2021,0.605714286
6/24/2021,0.61
6/25/2021,0.613333333
6/26/2021,0.616666667
6/27/2021,0.62
6/28/2021,0.623333333
6/29/2021,0.626666667
6/30/2021,0.63
7/1/2021,0.633571429
7/2/2021,0.637142857
7/3/2021,0.640714286
7/4/2021,0.644285714
7/5/2021,0.647857143
7/6/2021,0.651428571
7/7/2021,0.655
7/8/2021,0.658571429
7/9/2021,0.662142857
7/10/2021,0.665714286
7/11/2021,0.669285714
7/12/2021,0.672857143
7/13/2021,0.676428571
7/14/2021,0.68
7/15/2021,0.69
7/16/2021,0.7
7/17/2021,0.71
7/18/2021,0.72
7/19/2021,0.73
